suite_name,experiment_publisher_group,publisher_display_name,suite_slot_index,suite_slot_bucket,selection_reason,selection_bucket,validation_cohort,scihub_confound_risk,source_open_access,source_has_pdf_url,doi,title,publisher,publication_year,cited_by_count,pdf_url,open_access,download_status
full,acs,ACS,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1021/acssensors.4c02946,"Nickel Oxide Nanostructures for Gas Sensing: Recent Advances, Challenges, and Future Perspectives",American Chemical Society,2025,27,,False,Pending
full,acs,ACS,2,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1021/acspolymersau.4c00092,Cellulose-Based Nanofibers Infused with Biotherapeutics for Enhanced Wound-Healing Applications,American Chemical Society,2025,18,,True,Pending
full,acs,ACS,3,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.1021/acsomega.3c08717,"A Review of Synthesis Methods, Modifications, and Mechanisms of ZnO/TiO<sub>2</sub>-Based Photocatalysts for Photodegradation of Contaminants",American Chemical Society,2024,243,https://pubs.acs.org/doi/pdf/10.1021/acsomega.3c08717,True,Pending
full,elsevier,Elsevier,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1016/j.apcatb.2024.124297,Hydrogen bond-assisted construction of MOF/semiconductor heterojunction photocatalysts for highly efficient electron transfer,Elsevier BV,2024,47,,False,Pending
full,elsevier,Elsevier,2,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1016/j.jmrt.2025.05.041,Achieving low-temperature Cu–Cu bonding platform via area-selective metal films with superior surface roughness for advanced packaging,Elsevier BV,2025,4,,True,Pending
full,elsevier,Elsevier,3,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1016/j.rser.2024.114615,Theoretical and experimental progress in photothermal catalysis for sustainable energy and environmental protection: Key problems and strategies towards commercialization,Elsevier BV,2024,46,,False,Pending
full,cell,Cell-family,1,landing_oa,preferred_recent:landing_oa,landing_oa,recent_primary,lower_recent,True,False,10.1016/j.xcrp.2024.102254,Area-selective deposition of lateral van der Waals semiconductor heterostructures,Elsevier BV,2024,3,,True,Pending
full,cell,Cell-family,2,direct_pdf_oa,fallback_legacy:direct_pdf_oa,direct_pdf_oa,legacy_fallback,higher_legacy,True,True,10.1016/j.matt.2023.07.012,"Wafer-scale growth of two-dimensional, phase-pure InSe",Elsevier BV,2023,43,http://www.cell.com/article/S2590238523003685/pdf,True,Pending
full,cell,Cell-family,3,direct_pdf_oa,fallback_legacy:direct_pdf_oa,direct_pdf_oa,legacy_fallback,higher_legacy,True,True,10.1016/j.matt.2022.01.006,An innovative synthesis strategy for high-efficiency and defects-switchable-hydrogenated TiO2 photocatalysts,Elsevier BV,2022,61,http://www.cell.com/article/S2590238522000066/pdf,True,Pending
full,wiley,Wiley,1,landing_closed,preferred_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1002/adma.202409188,One‐Dimensional Single‐Crystal Mesoporous TiO<sub>2</sub> Supported CuW<sub>6</sub>O<sub>24</sub> Clusters as Photocatalytic Cascade Nanoreactor for Boosting Reduction of CO<sub>2</sub> to CH<sub>4</sub>,Advanced Materials,2024,35,,False,Pending
full,wiley,Wiley,2,landing_oa,fill_recent:landing_closed,landing_closed,recent_primary,lower_recent,False,False,10.1002/cssc.202401875,Surface Ligands for Perovskite Quantum Dots,Wiley,2024,23,,False,Pending
full,wiley,Wiley,3,direct_pdf_oa,preferred_recent:direct_pdf_oa,direct_pdf_oa,recent_primary,lower_recent,True,True,10.1002/adma.202501494,Functional Groups‐Regulated Organic Semiconductors for Efficient Artificial Photosynthesis of Hydrogen Peroxide,Advanced Materials,2025,41,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202501494,True,Pending
